Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,5.47199378512293E-12,0.0331941103362251,0.121119699522856,0,0,0,1.10120945723253,0.00778946719068149,-1.5508964879954E-14,-7.15589698622076E-15,0.00613139149583515,-6.01985020734907E-07,0.00283497412761364,0,0,0,0,0,0,package://simple_mtm_v15/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simple_mtm_v15/meshes/base_link.STL,,shoulder_pitch.stp-1;base.stp-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_J1_link,-0.0272468641090274,-0.00431239962158353,0.0136177788693086,0,0,0,0.217265269014196,8.82896586894772E-05,-5.23747831689456E-06,4.84618661160411E-07,9.88337545554211E-05,3.16056040570284E-07,0.000161817724585355,0,0,0,0,0,0,package://simple_mtm_v15/meshes/right_J1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simple_mtm_v15/meshes/right_J1_link.STL,,shoulder_left_arm.stp-1,Origin_right_J1_joint,right_j1,right_J1_joint,continuous,0,0.216999999999986,0.285,-1.57079632679489,0,0,base_link,0,0,1,,,,,,,,,,,,
right_J2_link,-0.113474393867848,0.00107776626147318,-1.35568763492966E-07,0,0,0,0.028442603557216,2.23413747833826E-06,-8.63056316192383E-08,-3.63778380618004E-11,2.18319915210086E-05,1.9508735560704E-13,2.11946804960037E-05,0,0,0,0,0,0,package://simple_mtm_v15/meshes/right_J2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simple_mtm_v15/meshes/right_J2_link.STL,,upper_arm.stp-1,Origin_right_J2_joint,right_j2,right_J2_joint,continuous,0.045,0,0.0100000000000002,1.5707963267949,0,-3.14159265358977,right_J1_link,0,0,-1,,,,,,,,,,,,
right_J3_link,0.169855168688481,-0.00305883869634632,0.000145482432812927,0,0,0,0.0380698507696103,3.5701518186246E-06,5.7779729027812E-08,-8.33816066520026E-09,2.50590429107588E-05,-4.10119336202671E-09,2.32459379325556E-05,0,0,0,0,0,0,package://simple_mtm_v15/meshes/right_J3_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simple_mtm_v15/meshes/right_J3_link.STL,,lower_arm.stp-1;gimbal-1/G_BASE-1,Origin_right_J3_joint,right_j3,right_J3_joint,continuous,-0.217499999999999,-0.0095000000000009,0,0,-1.5707963267949,0,right_J2_link,0,1,0,,,,,,,,,,,,
right_G3_link,-0.000538298034257867,0.0205137660110619,6.93755568111562E-05,0,0,0,0.0139115090394775,2.05714095768685E-06,-1.18920441797108E-08,-1.26103314022535E-08,3.24885522100955E-06,8.79998026858768E-09,2.08516206561186E-06,0,0,0,0,0,0,package://simple_mtm_v15/meshes/right_G3_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_mtm_v15/meshes/right_G3_link.STL,,gimbal-1/G3-2,Origin_right_G3_joint,right_g3,right_G3_joint,continuous,0.232499999999994,-0.000500000000001194,0,3.14159265358979,1.5707963267949,0,right_J3_link,0,-1,0,,,,,,,,,,,,
right_G2_link,-0.000390964800845855,2.19780089573407E-05,-0.00102567858648558,0,0,0,0.000175394578104925,6.00806245621315E-09,1.19071568961015E-11,-1.77273008759156E-09,7.79464906245331E-09,3.12378910526836E-11,2.03310817422897E-09,0,0,0,0,0,0,package://simple_mtm_v15/meshes/right_G2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_mtm_v15/meshes/right_G2_link.STL,,gimbal-1/G2-2,Origin_right_G2_joint,right_g2,right_G2_joint,continuous,0,0.02253,0,0,-0.364174851103282,3.14159265358979,right_G3_link,0.356178381855326,0,0.934417979439031,,,,,,,,,,,,
right_G1_link,-1.05032013909545E-05,-0.085828273258809,-2.73302344714343E-05,0,0,0,0.00625621520567211,1.27666098425883E-05,-3.81984029960301E-10,1.82290603449966E-09,1.14531246370276E-07,-1.08584454873E-09,1.27722041084183E-05,0,0,0,0,0,0,package://simple_mtm_v15/meshes/right_G1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_mtm_v15/meshes/right_G1_link.STL,,gimbal-1/G1-2;gimbal-1/handpiece-1,Origin_right_G1_joint,right_g1,right_G1_joint,continuous,0,0,0,0,0,0,right_G2_link,0.934417979439031,0,-0.356178381855326,,,,,,,,,,,,
right_G0_1_link,0.00495725277495374,0.0335829908035101,0.0131185541022431,0,0,0,0.00204075415287945,7.29183551455891E-07,-6.03030711122888E-08,-1.19420109398602E-08,6.47741964762135E-08,-1.39761570231973E-07,7.1062317024314E-07,0,0,0,0,0,0,package://simple_mtm_v15/meshes/right_G0_1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_mtm_v15/meshes/right_G0_1_link.STL,,gimbal-1/lever-1,Origin_right_G0_1_joint,right_g0,right_G0_1_joint,continuous,0,-0.0843,0,-3.1218,-7.4478E-05,-3.1341,right_G1_link,0.93442,0,-0.35618,,,,,,,,,,,,
right_G0_2_link,-0.00529617375766323,0.0331696096785512,-0.0140076982971626,0,0,0,0.00204075409890076,7.27894302650057E-07,6.66372557371628E-08,-1.51382121210436E-08,7.39602915064878E-08,1.56605359477287E-07,7.02726340131675E-07,0,0,0,0,0,0,package://simple_mtm_v15/meshes/right_G0_2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_mtm_v15/meshes/right_G0_2_link.STL,,gimbal-1/lever-2,Origin_right_G0_1_joint,right_g0,right_G0_2_link,continuous,0,-0.0843,0,-3.1218,-7.4478E-05,-3.1341,right_G1_link,0.93442,0,-0.35618,,,,,,,,,,,,
