Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.09539441324051E-06,0.0862866713676025,-0.0699252771933744,0,0,0,2.08418913267452,0.0128141035363538,1.93105392495048E-07,-3.28129199284356E-08,0.0117487023082668,-2.76942421209081E-06,0.00436365103494065,0,0,0,0,0,0,package://simple_PSM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_PSM/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
roller_link,-0.0415500174059238,0.00364021977063638,0.0160546970531957,0,0,0,0.874973515338156,0.00170995693555088,-1.76480636521543E-06,1.76187251165926E-06,0.00154081427626136,4.31193798285415E-06,0.00212538475249572,0,0,0,0,0,0,package://simple_PSM/meshes/roller_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_PSM/meshes/roller_link.STL,,Roller_Joint-1,Origin_roller_joint,roller,roller_joint,continuous,0,0,0.2733,3.1416,0,1.5708,base_link,-1,0,0,,,,,,,,,,,,
long_link,0.0264610779209657,0.108425307572703,0.002999999999352,0,0,0,0.208754094571234,0.000719637057303172,-0.000227238198725603,-1.48027222730657E-16,0.000100217612079357,-1.83930529463816E-17,0.000810089171205402,0,0,0,0,0,0,package://simple_PSM/meshes/long_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_PSM/meshes/long_link.STL,,Lower_link_large-1,Origin_long_joint,long_link_base,long_joint,continuous,-0.1655,0,0,-1.5708,-0.46639,0,roller_link,0,0,1,,,,,,,,,,,,
upper_arm_link,-1.97862783666083E-09,-0.00961112911619533,0.0466842774000057,0,0,0,0.181539154944239,0.000458934404201413,-3.57098237497192E-13,-2.70292573172014E-11,0.000578512473831839,1.63820676967824E-06,0.000132061884125478,0,0,0,0,0,0,package://simple_PSM/meshes/upper_arm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_PSM/meshes/upper_arm_link.STL,,Upper_Link-1,Origin_upper_arm_joint,upper_arm_base,upper_arm_joint,fixed,-0.12393,0.12301,0.003,0.46705,-1.5708,0,long_link,0,0,0,,,,,,,,,,,,
head_link,0.164239017035322,0.0665853897421708,0.0427362508840391,0,0,0,1.08894136797373,0.000898013476005556,9.69778499944983E-06,1.35176363908082E-06,0.00866634537120664,-7.56506025256906E-07,0.00801156572712451,0,0,0,0,0,0,package://simple_PSM/meshes/head_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_PSM/meshes/head_link.STL,,daVinci_Head-1,Origin_head_joint,head_pivot,head_joint,fixed,-0.042836,0.077429,-0.051146,-1.5708,-0.46705,-1.5708,upper_arm_link,0,0,0,,,,,,,,,,,,
sled_link,0.265732378442356,0.0401732683982706,-0.000150723192631628,0,0,0,0.542496534953743,0.000163982792151024,1.70355011071338E-06,1.53006130935905E-06,0.0021331908202792,1.6419699770382E-08,0.00201455618020118,0,0,0,0,0,0,package://simple_PSM/meshes/sled_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_PSM/meshes/sled_link.STL,,daVinciHead_Sled-1,Origin_sled_joint,head_insert,sled_joint,prismatic,0,0.066487,0.042836,0,0,0,head_link,1,0,0,0,0,0,0,,,,,,,,
lower_arm_link,-1.97862684960318E-09,-0.00961112911621059,0.0466842774001207,0,0,0,0.18153915494424,0.000458934404201414,-3.57098272771841E-13,-2.70292574215601E-11,0.00057851247383184,1.63820676967815E-06,0.000132061884125478,0,0,0,0,0,0,package://simple_PSM/meshes/lower_arm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_PSM/meshes/lower_arm_link.STL,,Upper_Link-2,Origin_lower_arm_join,lower_arm_base,lower_arm_join,fixed,-0.12393,0.053006,0.003,0.46705,-1.5708,0,long_link,0,0,0,,,,,,,,,,,,
short_link,-3.33066907387547E-16,0.0822993323844468,-0.0029999999999962,0,0,0,0.0886392328773929,0.000213865686057714,5.23466361403158E-19,-1.4699962503473E-21,5.60889659603931E-06,-2.30724283115387E-19,0.000217614515979222,0,0,0,0,0,0,package://simple_PSM/meshes/short_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_PSM/meshes/short_link.STL,,Lower_link_small-3;Lower_link_small-4,Origin_short_joint,short_link_base,short_joint,continuous,-0.2655,0,0,-1.5708,0.7854,3.1416,roller_link,0,0,-1,,,,,,,,,,,,
