Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,5.47199332572765E-12,0.121119699522856,-0.0331941103362252,0,0,0,1.10120945723253,0.00778946719068148,-7.15588223428412E-15,1.55089536398017E-14,0.00283497412761364,6.01985020734708E-07,0.00613139149583514,0,0,0,0,0,0,package://simple_mtm/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simple_mtm/meshes/base_link.STL,,base.stp-1;shoulder_pitch.stp-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_J1_link,-0.0272468641090276,-0.00431239962158658,0.0136177788693085,0,0,0,0.217265269014196,8.82896586774553E-05,-5.23747831657551E-06,4.84618661160366E-07,9.88337545554135E-05,3.16056040568793E-07,0.000161817724573326,0,0,0,0,0,0,package://simple_mtm/meshes/right_J1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simple_mtm/meshes/right_J1_link.STL,,shoulder_left_arm.stp-1,Origin_right_J1_joint,right_j1,right_J1_joint,continuous,0,0.217,0.285,-1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
right_J2_link,-0.113474393867848,0.00107776626147305,-1.35568759274118E-07,0,0,0,0.028442603557216,2.23413747833826E-06,-8.63056316192389E-08,-3.63778380649549E-11,2.18319915210086E-05,1.9508735397818E-13,2.11946804960037E-05,0,0,0,0,0,0,package://simple_mtm/meshes/right_J2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simple_mtm/meshes/right_J2_link.STL,,upper_arm.stp-1,Origin_right_J2_joint,right_j2,right_J2_joint,continuous,0.045,0,0.01,1.5708,0,-3.1416,right_J1_link,0,0,-1,,,,,,,,,,,,
right_J3_link,0.169855168699459,-0.00305883869518506,0.000145482432677757,0,0,0,0.0380698507753149,3.57015181851886E-06,5.77797289979546E-08,-8.33816062442827E-09,2.5059042912064E-05,-4.10119336283237E-09,2.3245937933752E-05,0,0,0,0,0,0,package://simple_mtm/meshes/right_J3_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simple_mtm/meshes/right_J3_link.STL,,lower_arm.stp-1;gimbal-1/G_BASE-1,Origin_right_J3_joint,right_j3,right_J3_joint,continuous,-0.2175,-0.0095,0,0,-1.5708,0,right_J2_link,0,1,0,,,,,,,,,,,,
right_G3_link,-0.000538298034257867,-0.0205137660110619,-6.93755568065696E-05,0,0,0,0.0139115090394775,2.05714095768685E-06,1.18920441797098E-08,1.26103314022523E-08,3.24885522100955E-06,8.79998026858796E-09,2.08516206561186E-06,0,0,0,0,0,0,package://simple_mtm/meshes/right_G3_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_mtm/meshes/right_G3_link.STL,,gimbal-1/G3-2,Origin_right_G3_joint,right_g3,right_G3_joint,continuous,0.2325,-0.0005,0,0,1.5708,0,right_J3_link,0,1,0,,,,,,,,,,,,
right_G2_link,-0.000390964800847493,2.19780089573407E-05,-0.00102567858648986,0,0,0,0.000175394578104925,6.00806245621315E-09,1.19071568961015E-11,-1.77273008759156E-09,7.79464906245331E-09,3.12378910526835E-11,2.03310817422897E-09,0,0,0,0,0,0,package://simple_mtm/meshes/right_G2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_mtm/meshes/right_G2_link.STL,,gimbal-1/G2-2,Origin_right_G2_joint,right_g2,right_G2_joint,continuous,0,-0.02253,0,-3.1416,0.36417,-3.1416,right_G3_link,0.35618,0,0.93442,,,,,,,,,,,,
right_G1_link,2.25192645086914E-09,-0.000108452700938511,3.32154054261125E-09,0,0,0,0.000579837865976285,1.26865038039388E-08,-2.87277031476485E-15,3.44857716014256E-10,6.98315303670725E-09,1.6483012048175E-15,1.34597899626725E-08,0,0,0,0,0,0,package://simple_mtm/meshes/right_G1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_mtm/meshes/right_G1_link.STL,,gimbal-1/G1-2,Origin_right_G1_joint,right_g1,right_G1_joint,continuous,0,0,0,0,0,0,right_G2_link,0.93442,0,-0.35618,,,,,,,,,,,,
right_G0_1_link,0.00495725277495712,0.0335829908035108,0.0131185541022462,0,0,0,0.00204075415287886,7.29183551455895E-07,-6.03030711122792E-08,-1.19420109398708E-08,6.4774196476192E-08,-1.3976157023198E-07,7.10623170243126E-07,0,0,0,0,0,0,package://simple_mtm/meshes/right_G0_1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_mtm/meshes/right_G0_1_link.STL,,gimbal-1/lever-1,Origin_right_G0_1_joint,right_g0,right_G0_1_joint,continuous,0,-0.0843,0,-3.1218,-7.4478E-05,-3.1341,right_G1_link,0.93442,0,-0.35618,,,,,,,,,,,,
right_G0_2_link,0.0051079319667735,-0.088944870622326,0.0529085639711702,0,0,0,0.0020407540989002,7.29183560316142E-07,-6.03030754021601E-08,-1.19420115546961E-08,6.47741938420838E-08,-1.39761574634634E-07,7.10623180129946E-07,0,0,0,0,0,0,package://simple_mtm/meshes/right_G0_2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_mtm/meshes/right_G0_2_link.STL,,gimbal-1/lever-2,Origin_right_G0_2_link2,right_g0,right_G0_2_link,fixed,0.00017052,0.038498,-0.038947,0.0068696,0,-0.0026185,right_G1_link,0,0,0,,,,,,,,,,,,
